Formula,Compound Name,CAS ID,Mass,RT,MB1,MB2,MB3,53_T1,53_T2,53_T3,54_T1,54_T2,54_T3,55_T1,55_T2,55_T3,56_T1,56_T2,56_T3,57_T1,57_T2,57_T3,58_T1,58_T2,58_T3,59_T1,59_T2,59_T3,60_T1,60_T2,60_T3,45_T1,45_T2,45_T3,46_T1,46_T2,46_T3,47_T1,47_T2,47_T3,48_T1,48_T2,48_T3,49_T1,49_T2,49_T3,50_T1,50_T2,50_T3,51_T1,51_T2,51_T3,52_T1,52_T2,52_T3,BlankSub_Median_53_T,BlankSub_Median_54_T,BlankSub_Median_55_T,BlankSub_Median_56_T,BlankSub_Median_57_T,BlankSub_Median_58_T,BlankSub_Median_59_T,BlankSub_Median_45_T,BlankSub_Median_46_T,BlankSub_Median_47_T,BlankSub_Median_48_T,BlankSub_Median_49_T,BlankSub_Median_50_T,BlankSub_Median_51_T,BlankSub_Median_52_T
1022.6269@11.052001,1022.6269@11.052001,,1022.6269,11.052000999999999,,,,,,,,,,,,,1544313.0,1458859.0,1276897.0,,,,,,,,,,1302613.0,,,,,,75290.0,,,1473217.0,,,1496766.0,1819325.0,1558213.0,,,,,,,,,,,,1562264.0,,,,1458859.0,,,,,75290.0,1473217.0,1558213.0,,,,1562264.0
1024.8253@14.284994,1024.8253@14.284994,,1024.8253,14.284994000000001,,,,261742.0,178474.0,285870.0,171707.0,272866.0,193663.0,312355.0,182276.0,303747.0,278850.0,266965.0,190864.0,107835.0,238731.0,278058.0,289108.0,315116.0,309486.0,226646.0,291635.0,243790.0,207165.0,293175.0,258675.0,,,,,,133998.0,139281.0,,,130551.0,,,434709.0,200501.0,185625.0,240869.0,144125.0,153764.0,,,225387.0,225283.0,,156076.0,261742.0,193663.0,303747.0,266965.0,238731.0,309486.0,243790.0,,133998.0,139281.0,130551.0,200501.0,153764.0,225387.0,190680.0
1026.5739@11.706995,1026.5739@11.706995,,1026.5739,11.706995,,,,18546.0,15889.0,,,,,,,,,,,,,,,,13257.0,,14235.0,,,,,,,,,,19155.0,,,,33287.0,,44398.0,,,,,,,,,,,,,17218.0,,,,,13257.0,14235.0,,19155.0,,38842.0,,,,
1028.6687@11.416008,1028.6687@11.416008,,1028.6687,11.416008,,,,682333.0,689588.0,740806.0,659945.0,420012.0,626481.0,667719.0,596480.0,662498.0,727151.0,706942.0,601527.0,608153.0,809512.0,643904.0,579069.0,339339.0,630768.0,606094.0,671233.0,720223.0,607120.0,677011.0,623766.0,524491.0,796836.0,825379.0,,943459.0,763658.0,692951.0,853239.0,735020.0,683258.0,791793.0,728120.0,688200.0,822283.0,949037.0,801471.0,788297.0,779778.0,692104.0,648917.0,798051.0,680556.0,735240.0,647753.0,689588.0,626481.0,662498.0,706942.0,643904.0,579069.0,671233.0,796836.0,853558.0,735020.0,728120.0,822283.0,788297.0,692104.0,680556.0
1030.5814@12.151,1030.5814@12.151,,1030.5814,12.151,,,,17908.0,,20900.0,16865.0,,,,,,17978.0,,,19234.0,21931.0,13545.0,38235.0,,29957.0,,21403.0,25265.0,,,,35955.0,48235.0,60030.0,27271.0,98574.0,52252.0,24648.0,39962.0,28904.0,33496.0,37694.0,41255.0,16505.0,26991.0,35003.0,63819.0,77215.0,69149.0,23796.0,37820.0,35181.0,19183.0,17693.0,,19404.0,16865.0,,17978.0,19234.0,34096.0,23334.0,48235.0,52252.0,28904.0,37694.0,26991.0,69149.0,35181.0,18438.0
1031.6798@11.240998,1031.6798@11.240998,,1031.6798,11.240998,,,,142452.0,122977.0,120923.0,116112.0,70062.0,97655.0,,,100423.0,108918.0,100840.0,87471.0,91243.0,,,,,,95194.0,,111859.0,97718.0,,104122.0,,,,,,,,,,,,,,,115814.0,185057.0,,222242.0,,,,,168027.0,,122977.0,97655.0,100423.0,100840.0,91243.0,,103526.0,,,,,115814.0,203650.0,,168027.0
1034.721@11.748997,1034.721@11.748997,,1034.721,11.748997,,,,38677.0,52048.0,64636.0,43325.0,44625.0,41130.0,49842.0,50928.0,44412.0,62718.0,63060.0,47331.0,23382.0,40839.0,39692.0,24855.0,33898.0,,50803.0,39941.0,40543.0,,53839.0,,24644.0,20083.0,,,39672.0,29894.0,32426.0,36389.0,,40480.0,48668.0,32553.0,38171.0,48463.0,56324.0,33657.0,35829.0,38805.0,17011.0,20232.0,,22704.0,6396.0,,52048.0,43325.0,49842.0,62718.0,39692.0,29376.0,40543.0,22364.0,34783.0,34408.0,40480.0,48463.0,35829.0,18622.0,14550.0
1036.135@1.1979991,1036.135@1.1979991,,1036.135,1.1979991,,,,,,,,,,,,,,,,,,,,,,,,,,,,33246.0,53860.0,82629.0,,54286.0,123518.0,19588.0,,,54788.0,44374.0,52714.0,14795.0,12725.0,,12599.0,15513.0,15586.0,,10110.0,,,16583.0,,,,,,,,,53860.0,88902.0,19588.0,52714.0,13760.0,15513.0,10110.0,16583.0
1036.6436@11.235996,1036.6436@11.235996,,1036.6436,11.235996,,,,1496285.0,1438409.0,,,,1334388.0,,,,1504025.0,1437151.0,1266202.0,1340810.0,,,1254685.0,687586.0,,,,,1279144.0,,1317754.0,,,,33542.0,,,1381445.0,1624340.0,1536057.0,1390634.0,1629213.0,1401024.0,,,,,,,,,,,1435478.0,1381254.0,1467347.0,1334388.0,,1437151.0,1340810.0,971136.0,,,33542.0,1536057.0,1401024.0,,,,1408366.0
1038.4305@10.437004,1038.4305@10.437004,,1038.4305,10.437004,,,,,,,,,,,,,,,,,14878.0,,,,,,11618.0,,14028.0,16492.0,13776.0,,,,,35597.0,,,,,,,,29459.0,43946.0,86903.0,,11787.0,12357.0,76242.0,82811.0,131412.0,46174.0,42199.0,18924.0,,,,,14878.0,,11618.0,,35597.0,,,43946.0,12072.0,82811.0,42199.0
